Category,Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
Ag and Allied,Agriculture,2674600,3532300,4207500,5107700,5108800,5870700,9401448,10307532,9769204.196
Ag and Allied,Forestry and logging,450400,494700,571300,441500,527900,562100,597300,636199,692091
Ag and Allied,Fishing,145600,205000,225500,240500,268200,294800,321300,323648,367652
Ag and Allied,Total,3270600,4232000,5004300,5789700,5904900,6727600,10320048,11267379,10828947.19
Mining and quarrying,Mining and quarrying,702600,811100,837000,887300,945700,995600,1104352,1180056,1197416.54
Manufacturing,Total,5544300,6953800,8072600,9049800,10004300,12693700,13502831,15055864,16877034.61
Manufacturing,Registered,4317300,5562600,6453100,7168800,7988500,10354300,10970878,12323049,13813534.61
Manufacturing,Unregistered,1227000,1391200,1619500,1881000,2015800,2339400,2531953,2732816,3063500
Construction,Construction,1302400,1462600,1736100,2501500,2952100,3165500,3530132,4075674,4809300
"Electricity,gas and Water supply","Electricity,gas and Water supply",585300,674300,760500,732400,801100,1193000,1444056,1510337,1812400
Industry,Total,8134600,9901800,11406200,13171000,14703200,18047800,19581370,21821931,24696151.16
"Transport,storage and communication",Total,1433500,1605000,1792700,2033200,2307800,2783600,3149087,3702447,4409318.482
"Transport,storage and communication",Railways,149600,152700,164000,179100,221400,277900,276500,295943,325500
"Transport,storage and communication",Transport by other means,959200,1104300,1275700,1460600,1631500,1955400,2358991,2800100,3347708.929
"Transport,storage and communication",Storage,4800,5100,6400,7000,8100,13900,16514,19805,24010
"Transport,storage and communication",Communication,319900,342900,346600,386500,446800,536400,497082,586600,712100
"Trade,hotels and restaurants","Trade,hotels and restaurants",3368100,4087900,4902600,5847700,6904300,7559700,9431969,11458375,13836429.08
Banking and Insurance,Banking and Insurance,1135300,1243400,1395600,1603300,1847900,1869800,2379018,2839428,3388857.318
"Real estate,ownership of dwellings and business services","Real estate,ownership of dwellings and business services",1336400,1504000,1715700,2018900,2335900,2693600,3210719,3740083,4384491.805
Public administration,Public administration,648000,733600,859000,954200,1065700,1359900,1564562,1772530,2027470.506
Other services,Other services,1010800,1165900,1293200,1510500,1721500,2084200,2515115,2854138,3429890.215
Services,Total,8932100,10339800,11958800,13967800,16183100,18350800,22250470,26367000,31476457.4
State domestic product,Total,20337300,24473600,28369300,32928500,36791200,43126200,52151888,59456311,67001555.75
